category,answer,pred,response
History,B,B,"### ANSWER
B"
History,E,E,"### ANSWER
E"
History,E,E,"### ANSWER
E"
History,C,C,"### ANSWER
C"
History,C,C,"### ANSWER
C"
History,C,C,"### ANSWER
C"
History,D,D,"### ANSWER
D"
History,B,A,"### ANSWER
A"
History,E,E,"### ANSWER
E"
History,E,E,"### ANSWER
E"
History,D,D,"### ANSWER  
D"
History,E,E,"### ANSWER
E"
History,C,C,"### ANSWER
C"
History,C,C,"### ANSWER
C"
History,C,C,"### ANSWER
C"
History,E,E,"### ANSWER
E"
History,B,B,"### ANSWER
B"
History,E,E,"### ANSWER
E"
History,D,C,"### ANSWER
C"
History,D,A,"### ANSWER
A"
History,E,E,"### ANSWER  
E"
History,B,B,"### ANSWER
B"
History,A,A,"### ANSWER
A"
History,D,A,"### ANSWER
A"
History,B,B,"### ANSWER
B"
History,B,B,"### ANSWER
B"
History,C,C,"### ANSWER
C"
History,E,E,"### ANSWER  
E"
History,C,C,"### ANSWER
C"
History,A,A,"### ANSWER
A"
History,B,B,"### ANSWER
B"
History,A,A,"### ANSWER
A"
History,E,E,"### ANSWER
E"
History,C,B,"### ANSWER  
B"
History,A,D,"### ANSWER
D"
History,C,C,"### ANSWER
C"
History,C,C,"### ANSWER
C"
History,E,D,"### ANSWER
D"
History,B,B,"### ANSWER
B"
History,C,D,"### ANSWER
D"
History,A,E,"### ANSWER
E"
History,D,D,"### ANSWER
D"
History,B,B,"### ANSWER  
B"
History,D,A,"### ANSWER  
A"
History,B,A,"### ANSWER
A"
History,E,E,"### ANSWER
E"
History,B,B,"### ANSWER
B"
History,C,A,"### ANSWER
A"
History,B,B,"### ANSWER
B"
History,B,A,"### ANSWER
A"
History,C,C,"### ANSWER
C"
History,E,D,"### ANSWER
D"
History,A,A,"### ANSWER
A"
History,E,E,"### ANSWER  
E"
History,B,B,"### ANSWER
B"
History,E,E,"### ANSWER
E"
History,D,D,"### ANSWER
D"
History,D,D,"### ANSWER
D"
History,D,D,"### ANSWER
D"
History,D,D,"### ANSWER  
D"
History,C,C,"### ANSWER
C"
History,D,C,"### ANSWER
C"
History,B,B,"### ANSWER
B"
History,B,B,"### ANSWER
B"
History,C,B,"### ANSWER  
B"
History,A,A,"### ANSWER
A"
History,B,B,"### ANSWER  
B"
History,B,E,"### ANSWER
E"
History,D,D,"### ANSWER
D"
History,E,A,"### ANSWER
A"
History,B,B,"### ANSWER  
B"
History,B,B,"### ANSWER
B"
History,A,A,"### ANSWER
A"
History,D,D,"### ANSWER  
D"
History,E,E,"### ANSWER
E"
History,E,E,"### ANSWER
E"
History,D,D,"### ANSWER
D"
History,B,C,"### ANSWER
C"
History,E,E,"### ANSWER
E"
History,C,A,"### ANSWER
A"
History,E,E,"### ANSWER
E"
History,C,C,"### ANSWER
C"
