category,answer,pred,response
information_technology,D,D,"### ANSWER
D"
information_technology,C,C,"### ANSWER
C"
information_technology,C,C,"### ANSWER
C"
information_technology,B,B,"### ANSWER
B"
aviation_engineering_and_maintenance,A,B,"### ANSWER
B"
aviation_engineering_and_maintenance,D,C,"### ANSWER
C"
aviation_engineering_and_maintenance,C,D,"### ANSWER
D"
aviation_engineering_and_maintenance,B,B,"### ANSWER
B"
management,A,B,"### ANSWER
B"
management,A,D,"### ANSWER
D"
management,C,D,"### ANSWER
D"
management,B,B,"### ANSWER
B"
mechanical_engineering,C,A,"### ANSWER
A"
mechanical_engineering,C,D,"### ANSWER
D"
mechanical_engineering,A,C,"### ANSWER
C"
mechanical_engineering,A,B,"### ANSWER
B"
energy_management,D,C,"### ANSWER
C"
energy_management,A,C,"### ANSWER
C"
energy_management,B,B,"### ANSWER
B"
energy_management,B,D,"### ANSWER
D"
psychology,A,B,"### ANSWER
B"
psychology,D,C,"### ANSWER
C"
psychology,D,D,"### ANSWER
D"
psychology,B,D,"### ANSWER  
D"
gas_technology_and_engineering,B,C,"### ANSWER
C"
gas_technology_and_engineering,D,D,"### ANSWER
D"
gas_technology_and_engineering,D,D,"### ANSWER
D"
gas_technology_and_engineering,D,C,"### ANSWER
C"
agricultural_sciences,D,B,"### ANSWER
B"
agricultural_sciences,C,B,"### ANSWER  
B"
agricultural_sciences,D,C,"### ANSWER
C"
agricultural_sciences,B,B,"### ANSWER  
B"
information_technology,C,A,"### ANSWER
A"
information_technology,B,B,"### ANSWER
B"
information_technology,B,A,"### ANSWER
A"
information_technology,B,A,"### ANSWER
A"
railway_and_automotive_engineering,B,B,"### ANSWER
B"
railway_and_automotive_engineering,A,A,"### ANSWER
A"
railway_and_automotive_engineering,D,A,"### ANSWER
A"
railway_and_automotive_engineering,B,B,"### ANSWER
B"
aviation_engineering_and_maintenance,C,C,"### ANSWER
C"
aviation_engineering_and_maintenance,D,C,"### ANSWER
C"
aviation_engineering_and_maintenance,C,A,"### ANSWER
A"
