category,answer,pred,response
Reading Comprehension,C,C,C
Reading Comprehension,B,B,B
Reading Comprehension,D,E,E
Reading Comprehension,A,,
Reading Comprehension,C,,
Reading Comprehension,A,A,A
Reading Comprehension,A,,
Reading Comprehension,D,,
Reading Comprehension,C,,
Reading Comprehension,D,,
Reading Comprehension,A,,
Reading Comprehension,B,B,B
Reading Comprehension,D,D,D
Reading Comprehension,C,C,C
Reading Comprehension,D,E,E
Reading Comprehension,A,A,A
Reading Comprehension,B,,
Reading Comprehension,C,,
Reading Comprehension,D,D,D
Reading Comprehension,B,B,B
Reading Comprehension,A,A,A
Reading Comprehension,D,,
Reading Comprehension,C,C,C
Reading Comprehension,B,B,B
Reading Comprehension,C,,
Reading Comprehension,B,B,B
Reading Comprehension,C,,
Reading Comprehension,A,,
Reading Comprehension,C,C,C
Reading Comprehension,C,C,C
Reading Comprehension,A,,
Reading Comprehension,B,,
Reading Comprehension,C,,
Reading Comprehension,A,A,A
Reading Comprehension,D,D,D
Reading Comprehension,D,,
Reading Comprehension,C,C,C
Reading Comprehension,B,B,B
Reading Comprehension,A,A,A
Reading Comprehension,C,C,C
Reading Comprehension,B,,
Reading Comprehension,A,A,A
Reading Comprehension,D,D,D
Reading Comprehension,D,,
Reading Comprehension,B,,
Reading Comprehension,D,,
Reading Comprehension,B,,
Reading Comprehension,A,,
Reading Comprehension,D,,
Reading Comprehension,C,,
Reading Comprehension,C,C,C
Reading Comprehension,D,,
Reading Comprehension,B,B,B
Reading Comprehension,D,D,D
Reading Comprehension,C,,
Reading Comprehension,D,D,D
Reading Comprehension,A,,
Reading Comprehension,D,D,D
Reading Comprehension,A,A,A
Reading Comprehension,C,,
Reading Comprehension,D,,
Reading Comprehension,C,,
Reading Comprehension,B,,
Reading Comprehension,C,,
Reading Comprehension,C,,
Reading Comprehension,B,,
Reading Comprehension,D,D,D
Reading Comprehension,B,,
Reading Comprehension,B,B,B
Reading Comprehension,D,,
Reading Comprehension,C,,
Reading Comprehension,A,A,A
Reading Comprehension,D,D,D
Reading Comprehension,A,,
Reading Comprehension,B,B,B
Reading Comprehension,A,A,A
Reading Comprehension,D,,
Reading Comprehension,C,,
Reading Comprehension,C,,
Reading Comprehension,D,,
Reading Comprehension,D,,
Reading Comprehension,B,,
Reading Comprehension,C,,
Reading Comprehension,A,,
Reading Comprehension,C,,
Reading Comprehension,B,B,B
Reading Comprehension,C,,
Reading Comprehension,B,,
Reading Comprehension,D,,
Reading Comprehension,C,,
Reading Comprehension,C,,
Reading Comprehension,A,,
Reading Comprehension,A,,
Reading Comprehension,D,,
Reading Comprehension,C,,
Reading Comprehension,B,,
Reading Comprehension,D,,
Reading Comprehension,B,,
Reading Comprehension,D,,
Reading Comprehension,B,,
Reading Comprehension,C,,
Reading Comprehension,A,A,A
Reading Comprehension,A,,
Reading Comprehension,C,,
Reading Comprehension,B,,
Reading Comprehension,C,,
Reading Comprehension,C,,
Reading Comprehension,A,A,A
Reading Comprehension,C,,
Reading Comprehension,A,,
Reading Comprehension,D,,
Reading Comprehension,C,,
Reading Comprehension,B,,
Reading Comprehension,A,,
Reading Comprehension,B,,
Reading Comprehension,B,B,B
Reading Comprehension,C,,
Reading Comprehension,D,,
Reading Comprehension,A,,
Reading Comprehension,A,,
Reading Comprehension,D,D,D
Reading Comprehension,A,A,A
Reading Comprehension,C,C,C
Reading Comprehension,D,,
Reading Comprehension,B,B,B
Reading Comprehension,C,,
Reading Comprehension,B,,
Reading Comprehension,C,C,C
Reading Comprehension,D,D,D
Reading Comprehension,B,,
Reading Comprehension,C,,
Reading Comprehension,A,,
Reading Comprehension,C,C,C
Reading Comprehension,A,A,A
Reading Comprehension,C,,
Reading Comprehension,B,B,B
Reading Comprehension,A,A,A
Reading Comprehension,C,E,E
Reading Comprehension,B,,
Reading Comprehension,A,,
Reading Comprehension,D,D,D
Reading Comprehension,B,,
Reading Comprehension,C,,
