category,answer,pred,response
maritime_engineering,B,D,D
maritime_engineering,C,C,C
maritime_engineering,B,C,C
maritime_engineering,D,C,C
marketing,A,A,A
marketing,D,D,D
marketing,C,C,C
marketing,C,C,C
biology,B,B,B
biology,B,B,B
biology,D,A,A
biology,C,B,B
management,D,D,D
management,C,C,C
management,A,A,A
management,C,C,C
telecommunications_and_wireless_technology,D,C,C
telecommunications_and_wireless_technology,B,B,B
telecommunications_and_wireless_technology,C,A,A
telecommunications_and_wireless_technology,D,A,A
computer_science,D,D,D
computer_science,C,C,C
computer_science,C,C,C
computer_science,B,B,B
civil_engineering,D,D,D
civil_engineering,C,B,B
civil_engineering,C,B,B
civil_engineering,D,D,D
electronics_engineering,C,C,C
electronics_engineering,C,C,C
electronics_engineering,D,,13 μs
electronics_engineering,B,B,B
agricultural_sciences,B,B,B
agricultural_sciences,A,C,C
agricultural_sciences,A,D,D
agricultural_sciences,B,B,B
maritime_engineering,D,B,B
maritime_engineering,D,C,C
maritime_engineering,C,B,B
maritime_engineering,B,B,B
marketing,B,A,A
marketing,B,B,B
marketing,D,D,D
marketing,D,D,D
management,B,B,B
management,B,B,B
management,C,C,C
management,C,C,C
biology,D,D,D
biology,B,B,B
biology,D,D,D
biology,D,D,D
telecommunications_and_wireless_technology,B,B,B
telecommunications_and_wireless_technology,D,D,D
telecommunications_and_wireless_technology,D,C,C
telecommunications_and_wireless_technology,D,D,D
computer_science,D,D,D
computer_science,C,C,C
computer_science,C,C,C
computer_science,D,D,D
civil_engineering,C,B,B
civil_engineering,C,C,C
civil_engineering,C,B,B
civil_engineering,D,D,D
agricultural_sciences,D,D,D
agricultural_sciences,A,A,A
agricultural_sciences,D,C,C
agricultural_sciences,A,A,A
maritime_engineering,C,D,D
maritime_engineering,D,D,D
maritime_engineering,C,C,C
maritime_engineering,B,C,C
electronics_engineering,D,D,D
electronics_engineering,B,A,A
electronics_engineering,C,A,A
electronics_engineering,D,D,D
psychology,A,B,B
psychology,B,B,B
psychology,C,C,C
psychology,D,B,B
marketing,C,C,C
marketing,B,B,B
marketing,D,D,D
marketing,D,D,D
management,C,C,C
management,D,D,D
management,C,C,C
management,C,C,C
computer_science,C,C,C
computer_science,B,B,B
computer_science,B,C,C
computer_science,B,C,C
biology,A,A,A
biology,D,C,C
biology,A,A,A
biology,D,D,D
civil_engineering,D,C,C
civil_engineering,C,C,C
civil_engineering,D,C,C
civil_engineering,C,B,B
electronics_engineering,C,D,D
electronics_engineering,B,A,A
electronics_engineering,C,B,B
electronics_engineering,B,D,D
telecommunications_and_wireless_technology,B,B,B
telecommunications_and_wireless_technology,D,,857
telecommunications_and_wireless_technology,D,D,D
telecommunications_and_wireless_technology,B,B,B
psychology,B,A,A
psychology,B,B,B
psychology,C,C,C
psychology,B,B,B
maritime_engineering,D,D,D
maritime_engineering,D,C,C
maritime_engineering,D,D,D
maritime_engineering,D,D,D
agricultural_sciences,C,C,C
agricultural_sciences,B,B,B
agricultural_sciences,C,B,B
agricultural_sciences,B,B,B
marketing,B,B,B
marketing,A,A,A
marketing,B,B,B
marketing,D,D,D
management,A,A,A
management,A,A,A
management,A,A,A
management,C,C,C
computer_science,D,D,D
computer_science,D,D,D
computer_science,D,D,D
computer_science,B,B,B
biology,C,C,C
biology,C,C,C
biology,D,D,D
biology,A,A,A
electronics_engineering,B,B,B
electronics_engineering,C,C,C
electronics_engineering,D,D,D
electronics_engineering,B,B,B
telecommunications_and_wireless_technology,A,C,C
telecommunications_and_wireless_technology,C,C,C
telecommunications_and_wireless_technology,D,C,C
telecommunications_and_wireless_technology,C,A,A
civil_engineering,D,D,D
civil_engineering,C,D,D
civil_engineering,C,C,C
civil_engineering,C,,60 mg/L
marketing,C,C,C
marketing,B,B,B
marketing,C,C,C
marketing,B,B,B
maritime_engineering,D,C,C
maritime_engineering,D,D,D
maritime_engineering,B,B,B
maritime_engineering,B,B,B
agricultural_sciences,C,C,C
agricultural_sciences,B,B,B
agricultural_sciences,D,D,D
agricultural_sciences,B,B,B
management,A,A,A
management,A,A,A
management,D,D,D
management,D,A,A
